,From,To,Dist,SourceStartWindow,SourceEndWindow,DestStartWindow,DestEndWindow,ServiceTime,LoadChange
0,0,40,120.13829364528198,0,0,815,1010,62.49999999999999,-10500
1,0,17,40.11067189664117,0,0,21,258,27.77777777777778,4000
2,0,16,84.675427958765,0,0,94,221,48.611111111111114,7500
3,0,15,96.48365250134346,0,0,1046,1313,55.55555555555556,-9750
4,0,14,109.91252931308605,0,0,4,189,27.77777777777778,4500
5,0,13,36.774731814113885,0,0,1136,1328,34.72222222222222,-3000
6,0,12,63.024009710585695,0,0,696,809,20.833333333333332,3250
7,0,11,124.754074883348,0,0,277,340,20.833333333333332,2500
8,0,18,45.78482718106513,0,0,834,973,62.49999999999999,-10250
9,0,10,90.23110771790402,0,0,1108,1187,13.88888888888889,-2000
10,0,8,33.16940909934936,0,0,500,627,62.49999999999999,9500
11,0,7,103.46128937916828,0,0,1026,1105,6.944444444444445,-750
12,0,6,90.52579356183517,0,0,161,253,20.833333333333332,3250
13,0,5,60.07477756929276,0,0,596,698,13.88888888888889,1500
14,0,4,122.10247868081957,0,0,1229,1312,69.4444444444444,-12500
15,0,3,82.059674018363,0,0,1055,1136,34.72222222222222,-5500
16,0,2,21.904853343494448,0,0,1318,1433,20.833333333333297,-3250
17,0,9,111.4120038415969,0,0,1024,1143,13.88888888888889,-2000
18,0,19,105.50049194198101,0,0,735,816,62.49999999999999,-10750
19,0,20,123.08707365113527,0,0,326,485,41.666666666666664,7000
20,0,21,118.89792134431956,0,0,1037,1341,62.49999999999999,-10000
21,0,38,67.38408417423211,0,0,764,965,55.55555555555556,-8750
22,0,37,60.47843417285206,0,0,67,292,34.72222222222222,5750
23,0,36,103.79829382027432,0,0,968,1144,13.88888888888889,-2000
24,0,35,90.84603733790483,0,0,423,642,13.88888888888889,1500
25,0,34,89.80428720278336,0,0,1125,1269,6.944444444444445,-1250
26,0,33,63.227098620765446,0,0,438,626,20.833333333333332,3250
27,0,32,51.10376600603912,0,0,839,1019,69.44444444444444,-12000
28,0,31,90.07876775356111,0,0,967,1073,48.611111111111114,-8250
29,0,30,126.76402683726957,0,0,221,429,20.833333333333332,3250
30,0,29,86.87040750451214,0,0,873,985,62.49999999999999,-11000
31,0,28,88.30458312001704,0,0,449,644,20.833333333333332,3750
32,0,27,81.6272319756097,0,0,320,400,13.88888888888889,2500
33,0,26,38.93086821533782,0,0,99,213,48.611111111111114,7500
34,0,25,24.29322539310085,0,0,805,1057,62.49999999999999,-11250
35,0,24,107.38065794173548,0,0,1178,1251,41.666666666666664,-6750
36,0,23,50.604234012580406,0,0,1200,1320,41.666666666666664,-6500
